,minimum volatility monthly,maximum sharpe ratio monthly,minimum volatility yearly,maximum sharpe ratio yearly
2010-01-03,100.0,100.0,100.0,100.0
2010-01-04,100.0,100.0,100.0,100.0
2010-01-05,100.0,100.0,100.0,100.0
2010-01-06,100.0,100.0,100.0,100.0
2010-01-07,100.0,100.0,100.0,100.0
2010-01-08,100.0,100.0,100.0,100.0
2010-01-11,100.0,100.0,100.0,100.0
2010-01-12,100.0,100.0,100.0,100.0
2010-01-13,100.0,100.0,100.0,100.0
2010-01-14,100.0,100.0,100.0,100.0
2010-01-15,100.0,100.0,100.0,100.0
2010-01-19,100.0,100.0,100.0,100.0
2010-01-20,100.0,100.0,100.0,100.0
2010-01-21,100.0,100.0,100.0,100.0
2010-01-22,100.0,100.0,100.0,100.0
2010-01-25,100.0,100.0,100.0,100.0
2010-01-26,100.0,100.0,100.0,100.0
2010-01-27,100.0,100.0,100.0,100.0
2010-01-28,100.0,100.0,100.0,100.0
2010-01-29,100.0,100.0,100.0,100.0
2010-02-01,100.0,100.0,100.0,100.0
2010-02-02,100.0,100.0,100.0,100.0
2010-02-03,100.0,100.0,100.0,100.0
2010-02-04,100.0,100.0,100.0,100.0
2010-02-05,100.0,100.0,100.0,100.0
2010-02-08,100.0,100.0,100.0,100.0
2010-02-09,100.0,100.0,100.0,100.0
2010-02-10,100.0,100.0,100.0,100.0
2010-02-11,100.0,100.0,100.0,100.0
2010-02-12,100.0,100.0,100.0,100.0
2010-02-16,100.0,100.0,100.0,100.0
2010-02-17,100.0,100.0,100.0,100.0
2010-02-18,100.0,100.0,100.0,100.0
2010-02-19,100.0,100.0,100.0,100.0
2010-02-22,100.0,100.0,100.0,100.0
2010-02-23,100.0,100.0,100.0,100.0
2010-02-24,100.0,100.0,100.0,100.0
2010-02-25,100.0,100.0,100.0,100.0
2010-02-26,100.0,100.0,100.0,100.0
2010-03-01,100.0,100.0,100.0,100.0
2010-03-02,100.0,100.0,100.0,100.0
2010-03-03,100.0,100.0,100.0,100.0
2010-03-04,100.0,100.0,100.0,100.0
2010-03-05,100.0,100.0,100.0,100.0
2010-03-08,100.0,100.0,100.0,100.0
2010-03-09,100.0,100.0,100.0,100.0
2010-03-10,100.0,100.0,100.0,100.0
2010-03-11,100.0,100.0,100.0,100.0
2010-03-12,100.0,100.0,100.0,100.0
2010-03-15,100.0,100.0,100.0,100.0
2010-03-16,100.0,100.0,100.0,100.0
2010-03-17,100.0,100.0,100.0,100.0
2010-03-18,100.0,100.0,100.0,100.0
2010-03-19,100.0,100.0,100.0,100.0
2010-03-22,100.0,100.0,100.0,100.0
2010-03-23,100.0,100.0,100.0,100.0
2010-03-24,100.0,100.0,100.0,100.0
2010-03-25,100.0,100.0,100.0,100.0
2010-03-26,100.0,100.0,100.0,100.0
2010-03-29,100.0,100.0,100.0,100.0
2010-03-30,100.0,100.0,100.0,100.0
2010-03-31,100.0,100.0,100.0,100.0
2010-04-01,100.0,100.0,100.0,100.0
2010-04-05,100.0,100.0,100.0,100.0
2010-04-06,100.0,100.0,100.0,100.0
2010-04-07,100.0,100.0,100.0,100.0
2010-04-08,100.0,100.0,100.0,100.0
2010-04-09,100.0,100.0,100.0,100.0
2010-04-12,100.0,100.0,100.0,100.0
2010-04-13,100.0,100.0,100.0,100.0
2010-04-14,100.0,100.0,100.0,100.0
2010-04-15,100.0,100.0,100.0,100.0
2010-04-16,100.0,100.0,100.0,100.0
2010-04-19,100.0,100.0,100.0,100.0
2010-04-20,100.0,100.0,100.0,100.0
2010-04-21,100.0,100.0,100.0,100.0
2010-04-22,100.0,100.0,100.0,100.0
2010-04-23,100.0,100.0,100.0,100.0
2010-04-26,100.0,100.0,100.0,100.0
2010-04-27,100.0,100.0,100.0,100.0
2010-04-28,100.0,100.0,100.0,100.0
2010-04-29,100.0,100.0,100.0,100.0
2010-04-30,100.0,100.0,100.0,100.0
2010-05-03,100.0,100.0,100.0,100.0
2010-05-04,100.0,100.0,100.0,100.0
2010-05-05,100.0,100.0,100.0,100.0
2010-05-06,100.0,100.0,100.0,100.0
2010-05-07,100.0,100.0,100.0,100.0
2010-05-10,100.0,100.0,100.0,100.0
2010-05-11,100.0,100.0,100.0,100.0
2010-05-12,100.0,100.0,100.0,100.0
2010-05-13,100.0,100.0,100.0,100.0
2010-05-14,100.0,100.0,100.0,100.0
2010-05-17,100.0,100.0,100.0,100.0
2010-05-18,100.0,100.0,100.0,100.0
2010-05-19,100.0,100.0,100.0,100.0
2010-05-20,100.0,100.0,100.0,100.0
2010-05-21,100.0,100.0,100.0,100.0
2010-05-24,100.0,100.0,100.0,100.0
2010-05-25,100.0,100.0,100.0,100.0
2010-05-26,100.0,100.0,100.0,100.0
2010-05-27,100.0,100.0,100.0,100.0
2010-05-28,100.0,100.0,100.0,100.0
2010-06-01,100.0,100.0,100.0,100.0
2010-06-02,100.0,100.0,100.0,100.0
2010-06-03,100.0,100.0,100.0,100.0
2010-06-04,100.0,100.0,100.0,100.0
2010-06-07,100.0,100.0,100.0,100.0
2010-06-08,100.0,100.0,100.0,100.0
2010-06-09,100.0,100.0,100.0,100.0
2010-06-10,100.0,100.0,100.0,100.0
2010-06-11,100.0,100.0,100.0,100.0
2010-06-14,100.0,100.0,100.0,100.0
2010-06-15,100.0,100.0,100.0,100.0
2010-06-16,100.0,100.0,100.0,100.0
2010-06-17,100.0,100.0,100.0,100.0
2010-06-18,100.0,100.0,100.0,100.0
2010-06-21,100.0,100.0,100.0,100.0
2010-06-22,100.0,100.0,100.0,100.0
2010-06-23,100.0,100.0,100.0,100.0
2010-06-24,100.0,100.0,100.0,100.0
2010-06-25,100.0,100.0,100.0,100.0
