,datatime,volume
0,2010-01-04,3991400000
1,2010-01-05,2491020000
2,2010-01-06,4972660000
3,2010-01-07,5270680000
4,2010-01-08,4389590000
5,2010-01-11,4255780000
6,2010-01-12,4716160000
7,2010-01-13,4170360000
8,2010-01-14,3915200000
9,2010-01-15,4758730000
10,2010-01-19,4724830000
11,2010-01-20,4810560000
12,2010-01-21,6874290000
13,2010-01-22,6208650000
14,2010-01-25,4481390000
15,2010-01-26,4731910000
16,2010-01-27,5319120000
17,2010-01-28,5452400000
18,2010-01-29,5412850000
19,2010-02-01,4077610000
20,2010-02-02,4749540000
21,2010-02-03,4285450000
22,2010-02-04,5859690000
23,2010-02-05,6438900000
24,2010-02-08,4089820000
25,2010-02-09,5114260000
26,2010-02-10,4251450000
27,2010-02-11,4400870000
28,2010-02-12,4160680000
29,2010-02-16,4080770000
30,2010-02-17,4259230000
31,2010-02-18,3878620000
32,2010-02-19,3944280000
33,2010-02-22,3814440000
34,2010-02-23,4521050000
35,2010-02-24,4168360000
36,2010-02-25,4521130000
37,2010-02-26,3945190000
38,2010-03-01,3847640000
39,2010-03-02,4134680000
40,2010-03-03,3951320000
41,2010-03-04,3945010000
42,2010-03-05,4133000000
43,2010-03-08,3774680000
44,2010-03-09,5185570000
45,2010-03-10,5469120000
46,2010-03-11,4669060000
47,2010-03-12,4928160000
48,2010-03-15,4164110000
49,2010-03-16,4369770000
50,2010-03-17,4963200000
51,2010-03-18,4234510000
52,2010-03-19,5212410000
53,2010-03-22,4261680000
54,2010-03-23,4411640000
55,2010-03-24,4705750000
56,2010-03-25,5668900000
57,2010-03-26,4708420000
58,2010-03-29,4375580000
59,2010-03-30,4085000000
60,2010-03-31,4484340000
61,2010-04-01,4006870000
62,2010-04-05,3881620000
63,2010-04-06,4086180000
64,2010-04-07,5101430000
65,2010-04-08,4726970000
66,2010-04-09,4511570000
67,2010-04-12,4607090000
68,2010-04-13,5403580000
69,2010-04-14,5760040000
70,2010-04-15,5995330000
71,2010-04-16,8108470000
72,2010-04-19,6597740000
73,2010-04-20,5316590000
74,2010-04-21,5724310000
75,2010-04-22,6035780000
76,2010-04-23,5326060000
77,2010-04-26,5647760000
78,2010-04-27,7454540000
79,2010-04-28,6342310000
80,2010-04-29,6059410000
81,2010-04-30,6048260000
82,2010-05-03,4938050000
83,2010-05-04,6594720000
