,hold,profit,nums of trade
RMD,0.0,-5437.009643554684,2.0
TYL,0.0,5243.8195190429615,4.0
BA,0.0,12910.6826171875,5.0
TSCO,0.0,-11264.219051361055,6.0
HII,0.0,72654.32051086426,22.0
REGN,0.0,118369.15325164795,59.0
LW,0.0,410508.46396255493,19.0
LYB,0.0,1924.7062683105469,2.0
WST,902.0,75422.77191162112,8.0
TSLA,760.0,365972.6717147827,33.0
NOC,0.0,-7156.62728881833,11.0
EXR,3825.0,-3063.514568328974,37.0
PRGO,0.0,-2411.2006225585938,8.0
KEYS,0.0,64551.082679748535,9.0
NCLH,0.0,-33607.884410858154,16.0
LMT,0.0,11700.403778076201,10.0
HSY,0.0,59816.464542388945,34.0
ALXN,0.0,60834.356910705515,30.0
PSX,0.0,-52004.06473541254,14.0
CTAS,0.0,-1690.4067993164062,4.0
AMZN,18.0,166.8603515625,1.0
ABBV,0.0,38496.7291679382,21.0
FBHS,0.0,113732.32637023924,24.0
SBAC,0.0,1593.4148559570385,2.0
POOL,653.0,1652.518783569336,8.0
ABC,0.0,-10029.89176940918,4.0
CLX,0.0,2345.3736572265625,4.0
AZO,0.0,137175.03842163074,55.0
NI,0.0,-11219.787160873442,6.0
ULTA,0.0,31344.448032379267,60.0
HUM,0.0,12154.223037719727,13.0
HFC,0.0,-1933.5583038330078,2.0
AAPL,1444.0,-388.68924713134766,9.0
CMS,0.0,12476.170269012437,6.0
APTV,0.0,143328.54761505118,34.0
IPGP,0.0,821.740699768081,6.0
IR,0.0,4309.974136352597,2.0
TDG,0.0,15852.660682678223,56.0
KR,0.0,-502.05728340148926,11.0
DLTR,0.0,136337.93987274167,35.0
UNH,0.0,-36362.619216918945,15.0
FANG,0.0,225015.97409057617,46.0
COO,0.0,-1442.6488037109302,9.0
IT,0.0,3173.998249053955,3.0
URI,0.0,2219.5793781280518,2.0
FTV,0.0,194633.4531440735,13.0
CHTR,0.0,80611.04110336304,70.0
CHD,0.0,-10352.51375579834,11.0
ROST,0.0,24305.20228958129,30.0
IDXX,0.0,6441.749572753892,2.0
PGR,0.0,-143.68561172485352,2.0
AAL,0.0,5229.366901397703,9.0
LVS,0.0,-2944.052936553948,2.0
SHW,0.0,16132.43099975583,15.0
FLT,0.0,87078.11486816406,31.0
SBUX,0.0,24701.883728027344,2.0
LB,0.0,22355.553218841575,8.0
DPZ,0.0,238580.22438621544,92.0
HCA,0.0,6838.020431518555,2.0
ZTS,0.0,-27353.01918029788,4.0
MKTX,1908.0,458641.0479888916,45.0
ALK,0.0,24311.43325805664,7.0
NOW,554.0,195891.9800071718,23.0
STZ,243.0,67361.55120086655,41.0
CDW,2394.0,475970.77960014343,60.0
IQV,0.0,7395.318656921387,10.0
COST,0.0,-28264.076782226562,6.0
NFLX,679.0,138704.10226440436,65.0
UAA,0.0,-2475.4676609039307,7.0
EL,0.0,-228.73637771606445,2.0
AVGO,0.0,-3061.769897460923,4.0
AWK,3093.0,13999.361953735119,28.0
MNST,797.0,15949.38397026062,27.0
FB,0.0,-13107.428833007812,23.0
NEE,2921.0,-88704.51792526245,16.0
EW,0.0,-14529.638025283843,7.0
HD,0.0,-12062.929687500146,10.0
EVRG,0.0,-585.5233688354638,2.0
GILD,0.0,1954.8969955444336,2.0
ABMD,723.0,-17512.684074401797,42.0
PAYC,0.0,90235.2392272948,64.0
ANET,0.0,-27358.279449462825,25.0
LLY,255.0,24115.168212890618,3.0
BIIB,0.0,25001.429138183594,25.0
ILMN,0.0,-11159.19794464115,10.0
ORLY,0.0,78975.31059265137,42.0
HRL,0.0,16875.593395233274,21.0
CMG,50.0,21145.78140258789,41.0
INFO,0.0,-984.4036560058594,2.0
AMCR,0.0,-66721.61353445047,12.0
TSN,0.0,9760.521606445312,22.0
MO,0.0,110757.96487045288,26.0
DG,0.0,102675.77618408203,20.0
TJX,0.0,-26048.945571899414,2.0
FTNT,0.0,-3761.5518016815186,7.0
ODFL,0.0,13187.599517822266,11.0
DXCM,221.0,137515.82197570812,20.0
