,hold,profit,nums of trade
KMB,0.0,-10506.498195648193,29.0
HAS,199.0,1445.908828735348,17.0
WRB,0.0,23513.206809997573,18.0
CME,0.0,-9063.861450195312,4.0
UPS,0.0,-5059.649772644036,3.0
DISCK,1528.0,3044.4763679504395,3.0
ETR,0.0,12937.514068603516,11.0
RMD,0.0,-10429.819152832024,2.0
DLR,0.0,2146.8661193847656,4.0
DVA,395.0,8087.31911849977,37.0
TYL,0.0,-334.5803985595703,4.0
CBOE,0.0,51228.55256652832,45.0
PPL,1565.0,-5103.489711761475,8.0
ED,0.0,326.7731399536133,17.0
HII,0.0,12991.814308166518,16.0
LW,0.0,97202.1902999878,19.0
UA,0.0,-1601.3090190887451,13.0
WST,0.0,137624.53466796887,2.0
LH,0.0,-50367.227714538574,29.0
CERN,0.0,1553.0897903442383,2.0
NEM,0.0,126687.12930870059,36.0
SYY,0.0,10218.983295440732,23.0
TSLA,0.0,-2352.5639905929565,2.0
SO,0.0,67051.42192459106,19.0
NOC,0.0,-5676.316833496094,2.0
KEYS,0.0,48394.74460601807,26.0
MKC,0.0,31572.660842895566,20.0
IBM,0.0,10972.559631347642,13.0
LMT,0.0,54476.13434219369,59.0
NCLH,0.0,11856.102577209473,18.0
GRMN,0.0,2017.3059425354058,4.0
ATVI,568.0,18415.05434036255,20.0
VRSN,0.0,825.2001495361328,4.0
HSY,0.0,51411.144390106216,53.0
DRI,0.0,1328.600814819336,5.0
DUK,5242.0,8908.269973754825,10.0
CL,0.0,-10578.82341003418,4.0
PSX,0.0,577.7070274353027,18.0
CFG,0.0,35439.473114013614,13.0
TWTR,146.0,-19888.85800552368,21.0
K,0.0,-33101.590751648066,18.0
SYK,0.0,-1812.5414657592773,2.0
ABBV,0.0,39470.521652221665,20.0
NWS,0.0,309.85559368131544,13.0
SBAC,0.0,5628.909568786636,20.0
AAP,0.0,1847.7579269409107,7.0
ACN,0.0,-3092.899932861328,2.0
SYF,0.0,-9270.202899932847,13.0
ABC,0.0,-17302.128719329867,29.0
CLX,3594.0,-26600.433395385626,31.0
MCD,0.0,148284.78511047363,35.0
FRC,12.0,-692.8765220642235,18.0
FIS,0.0,2492.943264007554,5.0
WELL,0.0,-2707.6837043762134,6.0
AJG,0.0,-62475.22067260743,8.0
PFE,0.0,2944.861297607422,9.0
AZO,0.0,158975.77822875965,71.0
D,0.0,18703.947917938232,13.0
EQIX,0.0,23115.1318359375,2.0
HUM,0.0,3287.2897338867115,29.0
TGT,1036.0,27154.510292053194,43.0
AAPL,0.0,15065.183221817006,29.0
PEP,0.0,1225.3695755004883,15.0
TAP,0.0,-232.71002197265625,2.0
VZ,0.0,-100.5787124633207,23.0
PG,0.0,142300.25663375852,34.0
ABT,0.0,-6897.9946346284705,28.0
APTV,0.0,34344.15096473693,23.0
IR,0.0,-2851.998638153047,6.0
CAG,0.0,66972.18910598749,30.0
TDG,0.0,-2876.8562927246094,2.0
WMT,0.0,23999.044860839844,32.0
DGX,639.0,-29852.409637451172,31.0
DLTR,0.0,63670.25549125672,46.0
KR,0.0,107248.5104351042,52.0
FANG,0.0,4588.516139984131,21.0
