,hold,profit,nums of trade
KMB,0.0,77.10777282714844,2.0
WRB,0.0,2153.420715332035,4.0
CME,0.0,8846.213562011719,2.0
UPS,0.0,4674.565612792969,2.0
RMD,0.0,20010.129386901855,2.0
DVA,177.0,-990.2399368286133,3.0
CBOE,0.0,-39892.73001861572,7.0
ED,0.0,3184.269561767578,2.0
LW,0.0,99058.86177062988,4.0
NEM,2783.0,38048.704975128174,4.0
SYY,0.0,15511.108787536621,4.0
SO,0.0,-6731.96929931629,2.0
KEYS,0.0,102134.77020263669,2.0
MKC,0.0,19296.03003692627,2.0
LMT,0.0,-4736.123901367202,6.0
NCLH,0.0,20462.141708374023,4.0
ATVI,281.0,2062.6072273254395,3.0
HSY,875.0,72065.84950256348,5.0
DUK,0.0,-33001.23411178589,2.0
CL,1567.0,-6255.423065185547,1.0
CFG,0.0,-18660.926189422607,4.0
TWTR,0.0,670.7998809814458,2.0
K,0.0,-3129.8923683166504,2.0
NWS,0.0,-5060.707342147827,4.0
ABBV,0.0,-2748.02978515625,2.0
SBAC,0.0,5249.596946716309,5.0
AAP,0.0,1710.3068618774414,2.0
SYF,0.0,4197.369659423828,2.0
ABC,0.0,5114.778339385986,2.0
MCD,0.0,23153.77587890625,6.0
AZO,171.0,245616.05010986328,6.0
HUM,0.0,9475.57473754883,4.0
TGT,178.0,5991.74343872071,4.0
AAPL,0.0,1394.515869140626,2.0
TAP,0.0,3898.214324951172,2.0
PEP,0.0,17521.742248535127,2.0
PG,0.0,298355.8126831056,3.0
ABT,0.0,1850.1542129516583,2.0
APTV,0.0,46177.280418395996,3.0
CAG,5151.0,-9923.203418731631,3.0
KR,0.0,-30806.03347015378,5.0
DGX,0.0,2154.4365730285645,2.0
DLTR,318.0,2365.661102294922,5.0
WMT,2709.0,20425.987663269043,4.0
FANG,0.0,-1267.5585174560547,2.0
EXC,0.0,17507.00225830078,2.0
COO,0.0,3820.9092407226562,2.0
BR,362.0,-2671.5562438964844,1.0
FTV,0.0,-24468.92862701416,2.0
CHTR,76.0,-330.07038497924805,3.0
CHD,0.0,39518.16882133478,4.0
MRK,0.0,32482.18426513672,2.0
SHW,0.0,5209.089157104492,2.0
NLSN,0.0,768.4713592529297,2.0
BIO,60.0,2473.1982421875,1.0
ZTS,0.0,50047.65140151979,5.0
RSG,0.0,8404.277420043945,2.0
MDLZ,0.0,9089.218603134184,2.0
MAA,0.0,12227.90414428711,2.0
NOW,0.0,9521.34860610962,4.0
INTC,0.0,4537.871795654304,2.0
PBCT,0.0,720.4747638702374,2.0
AMGN,0.0,17017.52045059204,3.0
T,0.0,-42612.99894714361,4.0
CDW,0.0,49606.241149902315,6.0
NLOK,2973.0,891.8977317810059,1.0
ATO,0.0,2688.757553100586,2.0
IQV,0.0,63547.28462982181,6.0
COST,270.0,15621.776306152344,3.0
RE,0.0,-4675.929801940911,6.0
GOOGL,0.0,1408.5302124023438,2.0
LDOS,0.0,93.87836837768555,2.0
JNJ,2825.0,22458.74137878418,1.0
FB,0.0,9555.09868621826,6.0
NEE,0.0,31334.63117980963,2.0
HD,0.0,1568.8291091918873,2.0
ALLE,0.0,-2452.2773208618164,2.0
SRE,0.0,29942.78093338014,2.0
NVR,0.0,-649.1005859375,6.0
CCI,0.0,351.539154052738,2.0
XYL,0.0,7272.62110710144,2.0
BMY,2092.0,12760.867956161543,6.0
LLY,9.0,55450.974029541016,7.0
PM,0.0,7330.004287719727,2.0
ORLY,0.0,4195.760437011719,2.0
HLT,184.0,-1066.78266906739,4.0
WLTW,0.0,88.11505126953125,2.0
HRL,0.0,-14857.645637512207,4.0
WM,0.0,25513.235275268555,2.0
CMG,0.0,3687.43994140625,2.0
INFO,0.0,55773.45154571533,4.0
MO,0.0,25370.981815338135,2.0
BDX,0.0,38372.21974182132,5.0
VRSK,201.0,41590.914138793945,4.0
WBA,0.0,13891.628662109375,2.0
DG,0.0,19366.072269439697,7.0
KO,6421.0,-19969.2894248963,1.0
